n,midterm_1,exam_1,female_1,midterm_2,exam_2,female_2,midterm_3,exam_3,female_3,midterm_4,exam_4,female_4,midterm_5,exam_5,female_5,midterm_6,exam_6,female_6,midterm_7,exam_7,female_7,midterm_8,exam_8,female_8,midterm_9,exam_9,female_9,midterm_10,exam_10,female_10
1,66,57.5,0,63,62,0,30,64,0,58,60,0,47,39,0,41,13,0,39,65,1,43,43,0,27,92,0,57,57,1
2,63,60,0,57,93,1,52,38.5,0,55,80,0,54,32,1,58,60,0,41,13,0,47,60.5,1,62,90,1,24,43,0
3,57,91,0,35.5,37,0,27,92,0,57,79,0,13,59,0,60,79,0,54,69,0,29,42,0,29,42,0,45,23,0
4,57,57,1,43,70,0,41,13,0,47,39,0,62,86,0,39,44,0,66,57.5,0,66,36,0,36.5,65,0,31.5,56,0
5,50,80,0,43,43,0,58,41,0,47,62,0,47,60.5,1,59.5,72,0,52,38.5,0,55,77,0,49,48,0,52,38.5,0
6,57,93,1,48,60,0,23,36,0,66,81,0,57,57,1,48,60,0,57,91,0,47.5,46,0,50,2,0,38,57,0
7,50,2,0,43,37,0,62,86,0,50,80,0,24,43,0,57,93,1,49,48,0,16,64,0,59.5,72,0,13,59,0
8,31.5,56,0,45,23,0,48.5,43,1,42,63,0,33,62,0,55,74,0,39,61,0,44.5,74,0,54,69,0,42,31,0
9,62,86,0,66,91,1,24,56,0,36.5,65,0,31.5,56,0,63,60,0,15,47,0,57,93,1,58,60,0,13,61,0
10,27,92,0,33.5,39,0,39,65,1,66,91,1,15,47,0,29,42,0,55,88,1,55,88,1,13,48,0,31.5,48,0
11,62,86,0,16,64,0,47,60.5,1,39,91,1,43,43,0,52,38.5,0,66,36,0,48.5,43,1,50,80,0,49,48,0
12,42,31,0,30,46,0,26,18,0,30,46,0,60,79,0,44.5,74,0,32,50,0,42,63,0,48.5,43,1,39,61,0
13,45,23,0,32,50,0,43,43,0,47,39,0,57,93,1,32,50,0,58,41,0,33,62,0,51,83,1,23,36,0
14,57,79,0,47.5,46,0,53,19,1,57,86,1,13,48,0,55,88,1,62,97,0,47,39,0,47,51.5,0,55,74,0
15,58,41,0,57,79,0,60,79,0,39,61,0,47,62,0,35.5,37,0,41,42,0,59.5,72,0,47,37,0,32,50,0
16,16,64,0,57,86,1,39,61,0,47,37,0,30,64,0,39,61,0,50,62,0,66,91,1,33,62,0,59.5,72,0
17,47,39,0,43,57,0,66,36,0,32,50,0,39,44,0,66,57.5,0,53,19,1,35.5,37,0,23,36,0,42,57,0
18,29,42,0,57,91,0,66,91,1,48,60,0,62,86,0,57,57,1,30,46,0,47,51.5,0,62,97,0,58,60,0
19,60.5,44,0,51,83,1,36.5,65,0,38,57,0,50,80,0,30,46,0,62,90,1,50,62,0,58,41,0,54,69,0
20,59.5,72,0,42,31,0,42,57,0,52,38.5,0,59.5,72,0,24,43,0,66,81,0,48,60,0,52,38.5,0,57,91,0
21,42,63,0,13,33,0,42,63,0,31.5,56,0,63,60,0,62,86,0,54,72,1,54,69,0,42,31,0,57,93,1
22,13,48,0,29,42,0,38,57,0,63,62,0,43,70,0,38,57,0,43,37,0,24,43,0,44.5,63,1,63,62,0
23,49,48,0,54,32,1,13,61,0,44.5,74,0,48,60,0,27,92,0,63,60,0,47,39,0,30,64,0,62,86,0
24,33.5,39,0,47,37,0,51,83,1,54,72,1,14,58,0,57,86,1,42,57,0,24,56,0,13,33,0,41,13,0
25,51,83,1,41,42,0,13,59,0,16,64,0,63,62,0,39,65,1,54,32,1,54,72,1,47.5,46,0,43,43,0
26,57,86,1,26,18,0,21,42,0,60,79,0,33.5,39,0,47,60.5,1,24,43,0,53,19,1,57,57,1,53,19,1
27,32,50,0,66,36,0,50,80,0,66,53,0,13,33,0,45,23,0,13,61,0,25,65,0,39,61,0,50,80,0
28,66,81,0,62,90,1,39,91,1,13,33,0,23,36,0,47,39,0,45,23,0,62,97,0,60,79,0,48.5,43,1
29,13,59,0,24,43,0,62,90,1,43,37,0,27,92,0,54,69,0,35.5,37,0,41,42,0,66,36,0,14,58,0
30,52,38.5,0,55,88,1,15,47,0,23,36,0,22,44,0,26,18,0,57,93,1,23,36,0,57,86,1,61,97,1
31,58,60,0,30,64,0,47.5,46,0,33.5,39,0,43,37,0,39,91,1,44.5,63,1,57,57,1,39,65,1,36.5,65,0
32,48,60,0,31.5,56,0,59.5,72,0,53,19,1,36.5,65,0,62,86,0,61,97,1,57,86,1,57,79,0,57,86,1
33,21,42,0,27,92,0,43,57,0,55,74,0,61,48,0,43,37,0,21,42,0,21,42,0,54,72,1,48,60,0
34,47,60.5,1,39,44,0,25,65,0,22,44,0,44.5,74,0,42,57,0,24,56,0,33.5,39,0,42,57,0,21,42,0
35,39,61,0,61,97,1,44.5,63,1,60.5,44,0,43,57,0,66,91,1,43,57,0,44.5,63,1,66,57.5,0,47.5,46,0
36,39,91,1,47,51.5,0,29,42,0,31.5,48,0,41,42,0,30,64,0,13,59,0,13,59,0,44.5,74,0,55,80,0
37,26,18,0,60,79,0,47,37,0,54,32,1,61,97,1,62,97,0,66,91,1,14,58,0,48,60,0,33.5,39,0
38,54,72,1,36.5,65,0,66,57.5,0,42,31,0,66,53,0,13,33,0,13,33,0,51,83,1,30,46,0,44.5,63,1
39,62,90,1,60.5,44,0,43,37,0,13,48,0,47.5,46,0,49,48,0,58,60,0,47,37,0,62,86,0,54,72,1
40,14,58,0,58,60,0,44.5,74,0,57,57,1,30,46,0,47.5,46,0,16,64,0,42,57,0,31.5,56,0,61,82,0
41,47,51.5,0,39,61,0,66,53,0,62,86,0,62,90,1,55,77,0,39,44,0,49,48,0,43,43,0,51,83,1
42,24,43,0,55,80,0,24,43,0,62,90,1,55,80,0,66,36,0,48.5,43,1,58,41,0,61,82,0,55,88,1
43,50,62,0,54,69,0,50,2,0,51,83,1,21,42,0,43,43,0,30,64,0,62,86,0,55,74,0,61,48,0
44,39,44,0,47,60.5,1,55,88,1,55,77,0,42,63,0,33.5,39,0,43,43,0,15,47,0,42,63,0,33,62,0
45,42,57,0,57,57,1,57,79,0,33,62,0,58,60,0,63,62,0,57,86,1,66,53,0,61,48,0,43,37,0
46,55,88,1,59.5,72,0,32,50,0,62,97,0,47,37,0,25,65,0,61,48,0,50,80,0,13,59,0,26,18,0
47,43,57,0,39,65,1,31.5,56,0,13,59,0,53,19,1,31.5,48,0,60,79,0,43,70,0,47,60.5,1,39,44,0
48,33,62,0,21,42,0,57,86,1,47,51.5,0,42,57,0,47,62,0,44.5,74,0,55,80,0,57,93,1,30,64,0
49,44.5,63,1,54,72,1,39,44,0,21,42,0,62,97,0,54,32,1,47,37,0,61,97,1,60.5,44,0,27,92,0
50,66,91,1,66,81,0,48,60,0,61,82,0,58,41,0,62,90,1,55,74,0,41,13,0,55,80,0,24,56,0
51,43,70,0,24,56,0,33,62,0,55,88,1,51,83,1,50,62,0,55,80,0,13,33,0,31.5,48,0,57,79,0
52,43,37,0,25,65,0,57,91,0,39,65,1,54,72,1,48.5,43,1,13,48,0,22,44,0,66,53,0,13,33,0
53,30,46,0,50,2,0,63,60,0,24,43,0,39,91,1,61,82,0,59.5,72,0,30,64,0,66,91,1,25,65,0
54,47,62,0,58,41,0,61,48,0,50,2,0,41,13,0,13,61,0,27,92,0,66,57.5,0,57,91,0,66,91,1
55,38,57,0,49,48,0,54,32,1,57,93,1,55,77,0,61,97,1,31.5,48,0,57,91,0,45,23,0,66,36,0
56,13,33,0,42,63,0,16,64,0,62,86,0,13,61,0,22,44,0,25,65,0,36.5,65,0,24,56,0,41,42,0
57,15,47,0,13,59,0,63,62,0,63,60,0,48.5,43,1,36.5,65,0,50,80,0,63,60,0,63,60,0,39,91,1
58,30,64,0,66,57.5,0,45,23,0,47.5,46,0,49,48,0,31.5,56,0,47,39,0,39,61,0,21,42,0,22,44,0
59,61,82,0,52,38.5,0,54,69,0,50,62,0,66,91,1,50,80,0,62,86,0,57,79,0,62,86,0,62,97,0
60,61,97,1,62,97,0,55,77,0,43,43,0,31.5,48,0,57,79,0,66,53,0,43,37,0,39,91,1,50,2,0
